,level_0,index,YearStart,QTarget,Latitude,Longitude,Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q15,Q17,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q32,Q33,Q34,Q39,Q43,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q70,Hispanic,Black,Male,Overall,White,Female
14,83.0,83.0,2021.0,40.7,42.827,-75.54397,43.5,96.6,59.3,67.2,28.8,27.6,4.5,20.4,79.6,4.6,18.6,36.8,19.6,27.9,38.4,25.3,28.6,24.8,35.4,7.3,32.6,90.8,37.7,75.7,5.0,12.3,67.1,63.0,44.0,3.6,30.2,23.3,28.4,68.5,9.1,14.5,2.4,3.1,14.2,0.0,0.0,1.0,0.0,0.0,0.0
15,333.0,333.0,2017.0,36.8,41.56266,-72.64984,56.5,97.6,59.2,61.5,31.7,27.0,4.6,21.5,78.5,2.9,11.7,50.0,27.4,39.6,51.5,29.8,34.1,28.1,40.0,13.9,28.5,95.3,29.5,79.9,6.8,9.0,73.2,60.9,48.7,3.8,42.4,25.5,24.4,55.4,7.6,14.7,2.3,3.6,11.5,0.0,0.0,0.0,0.0,0.0,1.0
16,224.0,224.0,2021.0,44.6,34.86597,-111.76381,42.3,96.5,58.5,61.0,24.3,27.4,4.9,20.7,79.3,5.4,20.4,38.0,20.7,25.5,34.1,26.6,24.3,22.4,35.2,6.5,33.9,88.7,34.7,71.9,5.0,11.2,70.5,60.7,37.1,4.0,25.9,19.4,31.1,72.4,14.2,15.5,2.6,3.4,15.3,0.0,0.0,1.0,0.0,0.0,0.0
17,269.0,269.0,2021.0,54.7,38.34774,-98.20078,57.4,98.7,80.3,66.1,46.4,32.4,5.7,37.0,63.0,6.2,19.6,52.6,24.5,33.2,60.2,41.1,46.7,55.2,46.4,11.1,40.0,84.8,34.3,81.6,4.9,12.3,84.1,60.7,36.5,5.8,28.7,32.4,38.7,69.0,15.7,23.0,2.9,3.2,23.4,0.0,1.0,0.0,0.0,0.0,0.0
18,112.0,112.0,2021.0,50.0,34.74865,-92.27449,55.5,96.2,67.7,64.4,39.9,33.5,6.4,33.7,66.3,6.0,12.7,49.1,31.6,36.9,54.2,39.6,40.6,35.5,48.3,9.0,40.7,89.2,37.2,80.0,9.6,12.5,79.7,60.8,42.4,5.6,27.7,30.6,38.7,70.4,10.9,22.0,3.7,4.6,21.1,0.0,0.0,0.0,1.0,0.0,0.0
19,226.0,226.0,2021.0,56.3,35.47203,-97.52107,46.9,96.5,66.5,68.7,34.4,33.3,4.6,32.3,67.7,5.1,16.6,41.1,23.1,28.5,48.8,35.8,32.6,30.3,45.9,8.2,42.6,83.8,40.1,74.3,6.6,13.5,81.3,68.7,37.9,4.1,23.2,25.5,39.8,75.3,14.7,18.8,2.5,3.5,17.1,0.0,0.0,1.0,0.0,0.0,0.0
20,183.0,183.0,2021.0,35.1,44.39319,-89.81637,54.0,93.4,58.7,74.4,25.9,31.9,4.2,17.2,82.8,4.0,21.8,39.4,29.8,38.6,51.7,23.0,27.5,19.3,32.4,10.5,32.7,89.4,37.5,80.0,5.3,8.3,71.9,64.1,53.0,4.4,29.7,19.2,33.1,68.3,4.1,12.6,2.5,3.3,13.4,0.0,0.0,0.0,0.0,1.0,0.0
21,410.0,410.0,2017.0,36.3,39.29058,-76.60926,55.6,98.2,74.7,57.7,37.4,43.8,4.9,28.4,71.6,4.4,12.8,46.8,24.5,34.0,49.9,37.4,37.8,36.1,43.0,12.0,37.6,95.7,27.9,82.2,6.1,13.9,73.3,57.1,39.7,3.9,23.6,27.2,42.1,74.8,8.7,17.2,2.7,3.7,15.1,0.0,1.0,0.0,0.0,0.0,0.0
22,414.0,414.0,2017.0,47.1,31.31266,-92.44568,50.0,98.8,64.7,57.4,34.6,30.7,5.8,27.7,72.3,4.3,19.9,52.5,29.2,36.9,53.0,39.6,41.2,30.0,48.4,8.1,38.1,91.2,37.6,79.0,9.0,11.7,74.5,68.9,38.0,4.8,29.4,29.7,33.5,68.5,9.9,20.2,3.3,4.7,22.7,0.0,0.0,0.0,0.0,1.0,0.0
23,401.0,401.0,2017.0,43.9,38.34774,-98.20078,53.0,96.3,59.9,55.7,37.2,28.2,5.1,22.3,77.7,3.1,12.4,50.8,27.8,35.6,54.9,34.1,38.8,27.3,45.1,11.5,30.0,89.6,30.5,82.0,7.2,10.3,70.1,64.3,42.2,4.3,36.0,28.7,32.4,61.4,14.5,17.1,2.5,4.1,16.4,0.0,0.0,0.0,0.0,0.0,1.0
24,357.0,357.0,2017.0,44.1,39.00883,-75.57774,47.7,97.6,60.3,67.2,36.4,34.4,5.6,24.2,75.8,4.7,16.4,48.4,29.2,37.2,45.9,30.2,35.8,25.7,40.0,10.1,36.4,93.1,35.2,79.7,8.5,11.2,74.4,64.1,48.6,4.2,31.1,29.4,30.4,67.1,8.9,17.9,2.8,4.4,17.1,0.0,0.0,0.0,0.0,1.0,0.0
25,49.0,49.0,2021.0,49.0,31.31266,-92.44568,52.9,97.2,66.1,64.6,39.4,33.6,5.8,27.7,72.3,5.2,18.3,43.5,30.9,39.9,49.4,33.9,36.8,33.6,40.4,8.0,38.5,90.1,40.9,81.2,9.2,12.4,74.4,64.3,41.4,5.4,28.0,28.7,36.8,70.0,6.6,18.6,3.3,4.5,19.4,0.0,0.0,0.0,0.0,1.0,0.0
26,265.0,265.0,2021.0,38.6,39.29058,-76.60926,53.1,98.0,58.5,77.2,27.6,28.8,4.3,19.2,80.8,4.1,15.3,40.0,30.1,39.8,51.0,24.4,29.0,23.9,32.3,8.9,35.3,94.2,40.6,79.6,6.5,10.6,73.0,65.7,57.7,4.6,33.0,18.9,31.2,65.7,3.4,12.9,2.6,3.3,11.2,0.0,0.0,0.0,0.0,1.0,0.0
27,288.0,288.0,2021.0,45.2,47.47532,-100.11842,45.4,95.7,59.9,68.7,29.4,38.2,4.0,22.8,77.2,5.0,26.3,34.8,22.6,31.3,38.6,25.0,29.2,17.2,34.1,7.5,33.8,82.5,33.9,74.7,4.4,11.1,74.7,58.5,42.6,3.0,22.4,24.4,37.1,75.9,9.8,12.8,1.9,2.9,16.6,0.0,0.0,1.0,0.0,0.0,0.0
28,434.0,434.0,2017.0,33.3,45.25423,-68.98503,50.8,97.0,59.4,63.2,29.2,27.8,4.9,19.8,80.2,5.3,17.9,52.1,31.2,41.6,54.4,30.5,30.8,21.4,40.9,11.2,34.8,90.9,36.6,74.5,7.8,10.7,72.6,65.8,44.4,4.2,33.4,25.2,29.1,65.1,12.2,16.1,2.9,4.3,17.3,0.0,0.0,0.0,1.0,0.0,0.0
29,499.0,499.0,2017.0,44.3,40.06021,-82.40426,62.5,96.5,60.3,62.3,41.6,30.6,5.6,24.8,75.2,3.6,12.5,50.6,33.8,44.2,60.5,34.1,40.9,31.5,43.5,12.4,33.0,90.8,30.6,83.3,9.9,11.4,72.8,62.5,45.0,5.0,33.6,31.0,34.1,64.0,7.4,19.0,3.0,4.5,19.9,0.0,0.0,0.0,0.0,0.0,1.0
30,218.0,218.0,2021.0,46.7,40.79373,-77.8607,49.9,97.1,64.5,69.6,27.9,30.5,5.2,25.7,74.3,4.9,18.8,38.4,24.4,32.3,36.6,28.9,29.3,25.2,31.6,8.0,36.8,88.9,35.8,77.1,6.9,12.3,68.4,56.3,45.1,3.9,28.5,21.5,34.0,70.7,8.5,16.0,2.7,3.5,15.3,0.0,0.0,1.0,0.0,0.0,0.0
31,60.0,60.0,2021.0,42.7,40.79373,-77.8607,56.1,97.4,59.1,72.4,31.1,29.9,5.1,24.0,76.0,4.5,15.8,37.1,31.1,39.4,52.5,28.8,31.3,25.2,31.3,9.6,34.3,90.7,36.4,81.6,7.3,10.4,68.2,59.1,52.6,4.3,32.7,23.3,32.7,66.2,5.3,15.2,2.7,3.7,14.5,0.0,0.0,0.0,0.0,1.0,0.0
32,287.0,287.0,2021.0,54.6,35.47203,-97.52107,51.7,95.0,79.9,51.5,40.2,39.7,6.7,30.1,69.9,4.233333333333333,10.1,47.9,27.3,35.2,45.1,35.7,23.1,63.3,52.1,14.0,48.7,87.4,40.7,83.0,4.9,19.7,83.5,65.6,36.1,5.7,17.9,26.8,44.8,80.0,20.6,20.7,3.0,3.7,18.8,0.0,1.0,0.0,0.0,0.0,0.0
33,62.0,62.0,2021.0,35.3,44.39319,-89.81637,53.6,93.5,59.5,73.2,26.6,32.4,4.3,17.8,82.2,4.2,21.9,42.2,27.9,37.2,49.4,25.0,29.2,23.4,35.6,10.8,31.6,88.7,35.7,78.5,5.6,9.1,70.1,61.9,50.7,4.6,29.6,20.3,33.9,68.5,5.7,13.6,2.6,3.3,13.3,0.0,0.0,0.0,1.0,0.0,0.0
34,398.0,398.0,2017.0,41.8,38.34774,-98.20078,45.0,96.9,62.0,56.5,31.5,30.5,4.7,24.3,75.7,4.8,22.1,48.1,20.4,28.0,45.8,34.5,34.4,22.2,42.8,6.6,35.6,88.2,31.3,70.6,5.6,10.6,72.0,58.4,34.6,3.0,26.1,27.1,32.3,72.6,15.9,16.1,2.0,3.2,18.3,0.0,0.0,1.0,0.0,0.0,0.0
35,18.0,18.0,2021.0,42.8,47.06653,-109.42442,47.8,95.1,53.7,66.2,29.3,30.5,4.6,18.4,81.6,4.7,20.5,40.4,28.1,36.8,45.9,24.3,29.1,22.3,36.4,9.6,31.0,87.0,31.5,77.0,5.9,8.5,69.6,55.4,43.8,4.3,31.7,21.1,30.9,66.6,9.2,13.6,2.5,3.7,12.9,0.0,0.0,0.0,0.0,1.0,0.0
36,442.0,442.0,2017.0,48.0,38.63579,-92.5663,53.6,96.8,61.4,65.4,34.0,29.9,6.1,27.0,73.0,4.5,18.8,52.6,27.8,37.7,54.9,37.4,38.0,29.7,46.4,9.4,32.0,90.0,31.9,79.6,8.5,10.4,72.0,64.0,43.1,4.3,30.0,29.2,32.5,67.8,15.6,19.0,2.9,4.3,20.8,0.0,0.0,0.0,1.0,0.0,0.0
37,320.0,320.0,2017.0,50.1,34.74865,-92.27449,52.9,96.2,64.9,59.4,40.5,29.3,6.1,32.6,67.4,5.1,15.3,56.4,33.1,41.2,50.7,42.5,41.3,33.1,53.8,8.9,42.0,88.5,36.5,79.4,10.8,12.6,74.2,69.7,42.3,5.0,29.3,32.5,34.0,69.1,10.7,23.8,3.6,5.4,22.1,0.0,0.0,0.0,0.0,1.0,0.0
38,456.0,456.0,2017.0,44.7,32.74551,-89.53803,46.7,95.8,68.2,53.5,33.3,32.1,6.5,38.3,61.7,6.1,17.9,53.2,25.1,31.0,46.7,46.5,37.2,38.7,46.5,5.6,41.6,87.8,36.5,75.1,6.1,13.9,76.7,62.6,32.5,4.1,24.3,29.3,35.7,74.3,21.7,23.8,3.1,4.6,22.2,0.0,0.0,1.0,0.0,0.0,0.0
39,337.0,337.0,2017.0,33.9,38.84384,-106.13361,52.5,97.5,52.4,62.1,25.4,23.1,4.9,18.9,81.1,3.0,14.5,53.1,24.1,34.3,45.6,29.6,26.3,24.8,45.1,11.0,22.9,92.2,26.5,77.9,4.7,7.4,62.6,58.7,48.0,4.3,45.5,20.6,23.8,51.5,11.9,15.1,2.5,3.9,12.6,0.0,0.0,0.0,0.0,0.0,1.0
40,530.0,530.0,2017.0,36.7,40.79373,-77.8607,62.3,97.2,59.3,62.5,35.7,31.8,5.2,22.9,77.1,3.6,13.5,49.4,33.2,44.1,63.1,34.8,36.3,29.4,43.8,13.2,29.1,92.5,30.1,83.3,6.7,9.9,68.7,65.9,47.9,4.7,36.5,25.9,30.5,60.7,7.4,18.3,3.0,4.9,16.9,0.0,0.0,0.0,0.0,0.0,1.0
41,589.0,589.0,2017.0,36.0,44.39319,-89.81637,54.2,97.6,58.3,56.0,27.0,28.2,5.4,19.7,80.3,3.3,16.5,52.3,29.8,39.7,52.2,31.0,27.9,28.4,47.0,12.1,27.7,90.4,32.1,80.5,5.7,7.9,69.2,68.7,43.6,4.5,38.9,22.8,31.6,59.9,7.2,17.2,3.1,4.5,15.0,0.0,0.0,0.0,0.0,0.0,1.0
42,436.0,436.0,2017.0,44.4,46.35565,-94.7942,35.6,96.23333333333333,57.0,62.6,32.5,34.833333333333336,5.566666666666666,32.5,67.5,3.1,19.4,47.6,8.4,14.2,18.8,45.1,34.4,46.1,48.6,4.1,17.5,88.6,20.2,58.0,3.0,9.2,43.7,50.7,35.9,3.4,25.8,40.3,35.8,72.2,40.9,26.6,1.8,2.9,15.7,1.0,0.0,0.0,0.0,0.0,0.0
43,428.0,428.0,2017.0,31.8,45.25423,-68.98503,53.8,96.4,57.3,64.5,28.2,24.8,4.4,18.8,81.2,3.8,13.6,53.2,32.7,43.3,57.1,29.9,30.6,24.7,41.3,13.9,30.1,93.1,34.3,80.2,7.5,8.9,71.6,64.5,49.4,4.7,38.5,23.7,26.9,59.5,9.2,14.9,3.0,4.5,14.3,0.0,0.0,0.0,0.0,0.0,1.0
44,512.0,512.0,2017.0,52.5,35.47203,-97.52107,55.5,96.7,65.4,67.8,44.0,29.1,6.2,28.3,71.7,4.8,8.8,59.2,30.8,37.8,56.0,42.7,46.1,36.9,51.0,12.3,36.4,89.3,32.6,81.9,9.3,12.3,75.0,63.6,46.7,5.8,32.9,34.8,36.1,65.2,16.3,23.1,3.6,4.9,19.2,0.0,0.0,0.0,0.0,0.0,1.0
45,307.0,307.0,2017.0,40.9,34.86597,-111.76381,39.5,95.8,57.7,54.9,27.8,24.8,4.8,23.0,77.0,4.6,20.5,51.6,20.1,25.5,43.5,34.6,32.9,26.0,43.8,7.5,33.2,88.4,33.0,69.3,5.5,11.2,68.2,58.4,33.1,3.5,26.8,23.5,30.1,71.2,17.0,18.8,2.6,3.8,18.3,0.0,0.0,1.0,0.0,0.0,0.0
46,13.0,13.0,2021.0,46.9,35.46622,-79.15925,53.8,97.2,65.2,69.9,27.6,33.2,4.9,22.3,77.7,4.3,15.3,41.8,27.3,37.3,51.9,30.1,30.6,34.3,42.9,8.7,34.7,90.8,36.8,82.0,7.6,12.7,74.1,62.6,46.0,4.3,30.0,22.3,36.0,68.6,13.3,15.3,2.7,3.4,14.4,0.0,0.0,0.0,1.0,0.0,0.0
