,level_0,index,YearStart,QTarget,Latitude,Longitude,Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q15,Q17,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q32,Q33,Q34,Q39,Q43,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q70,Hispanic,Black,Male,Overall,White,Female
57,131.0,131.0,2021.0,45.9,43.68263,-114.36373,53.6,95.0,57.1,63.8,27.9,27.0,4.5,18.6,81.4,3.9,11.0,47.4,28.3,34.0,48.8,26.2,30.5,27.4,40.2,12.5,28.2,87.0,31.6,78.6,6.4,9.6,68.4,56.1,44.3,5.4,35.3,21.2,31.8,62.6,8.0,13.8,3.2,3.9,13.1,0.0,0.0,0.0,0.0,0.0,1.0
58,424.0,424.0,2017.0,39.4,46.35565,-94.7942,43.6,96.4,53.4,65.8,31.5,28.8,4.2,17.6,82.4,3.6,21.0,47.1,21.4,28.8,44.1,25.7,31.9,17.6,37.6,7.5,27.9,92.5,28.4,78.1,4.5,7.8,69.6,60.8,46.8,2.9,33.0,23.4,28.4,65.5,6.6,11.5,1.9,3.1,14.0,0.0,0.0,0.0,0.0,1.0,0.0
59,97.0,97.0,2021.0,39.7,41.70828,-71.52247,53.0,98.3,63.3,75.8,24.2,25.5,4.8,19.6,80.4,4.4,22.2,30.1,25.0,29.0,48.7,23.6,27.9,28.3,35.7,10.1,35.4,91.8,35.0,79.3,5.8,10.9,71.1,62.5,51.9,3.9,26.0,21.4,30.9,72.5,8.3,13.5,2.6,3.5,13.5,0.0,0.0,1.0,0.0,0.0,0.0
60,445.0,445.0,2017.0,47.6,38.63579,-92.5663,58.8,97.1,64.7,65.9,35.6,30.4,6.7,27.1,72.9,3.1,14.0,56.1,32.5,43.4,61.9,38.7,37.6,33.2,50.4,12.5,31.2,91.7,31.5,82.9,9.4,10.3,71.5,62.2,48.2,5.2,33.8,29.9,33.5,63.4,15.6,20.9,3.4,4.9,20.0,0.0,0.0,0.0,0.0,0.0,1.0
61,241.0,241.0,2021.0,37.9,21.30485,-157.85775,38.5,96.5,49.0,64.8,28.5,15.4,3.8,18.7,81.3,3.9,12.3,35.2,21.2,26.2,34.5,23.9,28.5,23.3,41.0,10.7,27.4,86.3,32.8,84.2,3.6,8.6,76.9,63.3,49.0,3.9,45.1,22.8,21.4,51.0,2.9,12.4,2.2,2.8,8.7,0.0,0.0,0.0,0.0,0.0,1.0
62,30.0,30.0,2021.0,41.3,40.79373,-77.8607,59.7,97.5,57.8,72.3,35.6,31.7,5.4,25.3,74.7,3.8,12.1,39.1,32.7,43.8,60.2,31.3,37.2,33.3,38.6,12.5,30.8,91.4,33.8,83.0,6.8,10.0,70.4,61.5,54.6,4.9,36.4,26.8,32.6,61.9,4.8,16.5,2.9,3.8,13.6,0.0,0.0,0.0,0.0,0.0,1.0
63,135.0,135.0,2021.0,40.6,37.54268,-78.45789,59.4,97.8,60.9,70.2,32.4,32.7,4.9,23.7,76.3,4.7,12.5,42.7,31.5,44.2,57.2,30.6,35.0,31.3,40.9,13.0,32.0,93.6,36.1,83.3,7.3,10.8,73.8,63.9,52.5,5.7,32.9,24.6,34.9,64.4,5.4,15.9,3.1,3.8,11.5,0.0,0.0,0.0,0.0,0.0,1.0
64,95.0,95.0,2021.0,52.5,35.47203,-97.52107,51.0,96.9,62.5,69.2,38.9,32.1,4.7,28.2,71.8,4.3,11.9,45.1,30.2,36.3,51.7,35.6,36.8,32.4,48.3,10.5,40.4,87.0,39.3,80.0,8.6,12.5,79.4,67.4,44.3,5.3,26.5,27.4,38.3,71.5,10.8,20.4,3.1,4.1,16.7,0.0,0.0,0.0,0.0,1.0,0.0
65,145.0,145.0,2021.0,50.3,31.82724,-99.42677,41.6,96.0,55.3,56.0,38.5,35.1,4.6,41.8,58.2,4.0,19.1,39.2,13.9,20.9,30.1,46.1,33.8,44.3,55.0,6.3,24.7,87.2,31.7,65.1,3.7,12.5,56.5,57.9,29.1,4.2,23.6,28.8,42.5,74.8,39.9,23.3,2.6,3.1,12.8,1.0,0.0,0.0,0.0,0.0,0.0
66,449.0,449.0,2017.0,46.1,35.46622,-79.15925,54.3,96.1,61.4,65.1,34.9,32.7,6.2,26.1,73.9,3.0,11.1,59.9,27.7,41.2,50.5,40.2,37.2,39.7,57.5,11.9,33.8,92.2,31.5,83.2,8.6,11.2,74.9,67.1,46.3,4.6,34.4,25.9,33.8,63.1,17.6,20.0,3.0,4.5,15.4,0.0,0.0,0.0,0.0,0.0,1.0
67,324.0,324.0,2017.0,44.0,38.90719,-77.03687,34.4,95.5,62.7,62.0,28.8,18.0,4.0,23.9,76.1,4.6,31.6,52.3,11.8,20.4,35.0,31.3,27.9,33.6,53.0,5.6,26.7,91.8,27.5,69.1,4.8,6.7,76.8,62.3,38.5,2.9,40.0,22.1,18.6,58.3,7.8,9.8,1.6,2.4,17.8,0.0,0.0,1.0,0.0,0.0,0.0
68,187.0,187.0,2021.0,44.7,45.25423,-68.98503,44.9,83.0,59.2,70.2,31.7,28.0,4.7,21.5,78.5,5.6,20.4,43.2,27.0,35.9,49.8,25.8,28.8,23.1,42.3,8.6,37.6,69.5,37.0,75.7,8.1,12.4,74.9,58.8,45.1,3.8,28.3,25.5,31.6,70.6,8.8,15.3,2.8,3.6,15.9,0.0,0.0,1.0,0.0,0.0,0.0
69,171.0,171.0,2021.0,52.0,31.31266,-92.44568,49.5,97.2,70.3,61.4,34.5,34.1,5.6,32.6,67.4,5.8,21.5,40.4,26.1,33.6,41.6,36.5,31.9,39.4,49.9,6.9,41.5,86.9,39.0,78.2,8.5,13.4,76.8,62.7,35.0,4.5,26.3,25.7,36.0,72.2,10.2,19.4,2.9,4.0,21.8,0.0,0.0,1.0,0.0,0.0,0.0
70,560.0,560.0,2017.0,42.2,39.3607,-111.58713,47.8,96.1,55.2,56.0,27.1,27.7,4.9,19.8,80.2,4.5,10.9,50.2,21.0,32.1,48.3,27.3,26.8,20.7,38.6,9.3,25.2,86.4,26.4,69.1,3.9,6.9,68.8,60.9,38.5,3.9,37.9,19.4,25.0,60.0,9.8,11.7,2.2,3.4,8.2,0.0,0.0,0.0,0.0,1.0,0.0
71,21.0,21.0,2021.0,47.2,38.63579,-92.5663,53.3,94.7,71.2,61.8,37.7,42.1,6.7,35.3,64.7,4.4,13.7,44.3,25.3,28.3,45.9,41.9,36.4,48.4,50.9,11.0,42.0,88.9,25.4,79.8,8.3,15.4,84.4,47.6,40.2,5.0,21.6,29.8,44.3,77.1,16.1,21.5,3.4,3.9,19.3,0.0,1.0,0.0,0.0,0.0,0.0
72,268.0,268.0,2021.0,36.8,42.827,-75.54397,50.2,97.9,54.9,71.4,28.9,26.6,4.0,16.6,83.4,4.3,16.6,39.6,27.5,37.0,47.9,22.1,28.4,24.8,33.4,9.7,31.3,93.0,38.2,82.0,6.8,9.5,68.2,62.5,52.0,4.3,35.1,20.9,28.5,62.6,4.0,11.6,2.4,3.1,12.9,0.0,0.0,0.0,0.0,1.0,0.0
73,126.0,126.0,2021.0,48.1,34.74865,-92.27449,58.8,96.9,67.5,64.0,43.2,31.8,6.4,31.2,68.8,5.1,8.7,49.2,35.6,38.8,57.1,37.8,41.7,37.0,46.0,11.1,38.4,92.1,34.9,85.5,10.5,12.4,75.8,59.4,45.7,6.5,30.2,32.9,38.6,67.6,7.4,21.8,4.0,4.9,20.9,0.0,0.0,0.0,0.0,0.0,1.0
74,447.0,447.0,2017.0,46.7,35.46622,-79.15925,42.6,95.7,70.4,68.1,34.0,27.6,5.3,26.4,73.6,4.3,20.2,51.3,20.7,28.1,41.2,36.2,33.2,32.5,50.0,6.3,35.8,88.8,35.8,76.8,6.9,11.5,78.0,71.0,43.8,3.5,28.3,25.1,30.5,70.8,19.6,18.1,2.4,3.7,19.2,0.0,0.0,1.0,0.0,0.0,0.0
75,229.0,229.0,2021.0,48.3,39.49324,-117.07184,50.5,95.5,59.9,60.2,28.0,25.0,5.9,25.1,74.9,4.4,12.7,47.1,23.9,30.8,47.7,35.0,33.0,34.1,46.2,9.1,32.5,88.4,36.0,75.9,6.8,11.5,69.2,58.4,38.3,5.3,30.5,24.2,31.3,67.4,13.9,18.6,3.6,4.3,15.5,0.0,0.0,0.0,1.0,0.0,0.0
76,297.0,297.0,2021.0,42.7,33.99882,-81.04537,58.2,98.1,62.8,63.9,35.1,32.6,5.5,24.6,75.4,4.8,10.9,46.0,33.9,41.2,55.2,32.2,35.4,40.6,41.2,11.2,37.5,93.0,38.1,86.5,8.3,14.2,73.5,62.6,44.9,6.0,30.7,27.4,38.3,67.4,11.4,17.8,3.5,4.4,13.4,0.0,0.0,0.0,0.0,0.0,1.0
77,453.0,453.0,2017.0,41.9,35.46622,-79.15925,44.7,96.0,78.3,69.8,40.7,43.3,5.7,28.2,71.8,3.5,11.7,59.0,23.5,32.9,36.9,46.5,47.4,49.7,63.4,10.7,42.6,88.5,33.8,83.2,5.1,17.3,81.5,76.0,42.4,4.5,22.4,31.3,41.8,76.3,19.5,24.0,2.6,4.1,20.0,0.0,1.0,0.0,0.0,0.0,0.0
78,517.0,517.0,2017.0,41.9,44.56745,-120.15503,54.4,96.4,52.5,54.2,26.7,29.0,5.3,19.8,80.2,3.5,12.4,59.9,30.7,42.3,54.7,31.6,30.8,25.1,48.1,13.3,27.3,91.8,28.4,75.8,7.0,9.2,73.2,57.2,37.9,5.3,38.5,22.4,30.0,59.0,10.3,17.7,3.3,4.9,14.2,0.0,0.0,0.0,0.0,0.0,1.0
79,280.0,280.0,2021.0,41.7,44.56745,-120.15503,42.3,95.1,58.0,64.3,18.0,23.7,4.6,19.4,80.6,5.7,20.5,40.8,19.9,28.1,40.8,23.9,21.1,18.7,44.1,7.6,33.6,85.2,33.1,68.1,5.1,10.2,71.1,56.2,40.7,4.2,30.0,17.9,29.7,68.8,10.0,14.0,2.7,3.1,13.1,0.0,0.0,1.0,0.0,0.0,0.0
80,251.0,251.0,2021.0,43.5,47.06653,-109.42442,47.8,95.0,53.7,65.0,29.6,30.9,4.8,19.2,80.8,4.7,20.5,41.2,27.5,36.3,45.3,25.3,29.4,22.5,37.2,9.7,30.6,86.0,30.5,75.8,5.9,8.9,67.7,53.7,42.6,4.5,31.5,21.2,31.8,66.7,9.3,14.4,2.6,3.8,14.4,0.0,0.0,0.0,1.0,0.0,0.0
81,573.0,573.0,2017.0,44.3,37.54268,-78.45789,55.2,97.5,80.7,58.7,40.9,40.2,6.0,33.3,66.7,3.9,13.7,53.3,26.3,34.3,47.4,40.5,45.3,46.4,46.1,9.6,44.7,92.3,32.6,80.9,6.5,17.6,78.2,64.8,38.6,3.8,21.3,34.7,43.6,77.4,17.7,19.5,2.6,3.8,19.7,0.0,1.0,0.0,0.0,0.0,0.0
82,201.0,201.0,2021.0,39.6,40.13057,-74.27369,47.6,97.6,60.0,67.1,32.8,26.6,5.0,23.3,76.7,4.2,14.6,38.9,22.9,31.6,40.3,25.3,34.1,30.6,37.1,8.9,31.1,93.5,37.0,81.2,5.5,10.3,68.8,61.7,46.3,4.3,32.7,24.1,28.2,65.6,10.9,15.0,2.5,3.4,10.7,0.0,0.0,0.0,1.0,0.0,0.0
83,147.0,147.0,2021.0,43.0,47.47532,-100.11842,51.4,96.6,60.0,70.0,30.9,35.2,3.8,20.9,79.1,4.2,20.9,35.8,26.8,34.6,46.1,23.1,30.1,19.0,34.2,8.1,31.3,86.1,34.4,82.0,4.7,9.2,73.3,58.6,48.6,3.4,29.0,24.7,34.7,69.3,6.5,12.1,1.9,3.0,13.2,0.0,0.0,0.0,0.0,1.0,0.0
84,527.0,527.0,2017.0,42.7,33.99882,-81.04537,54.5,97.2,63.2,64.3,30.3,26.2,5.7,24.2,75.8,4.7,16.4,51.6,30.0,37.3,54.9,32.7,33.2,28.4,42.5,9.0,36.7,93.0,35.8,80.9,8.7,12.0,73.9,66.6,44.1,4.4,32.9,26.2,31.0,65.5,12.9,16.9,2.9,4.3,18.6,0.0,0.0,0.0,0.0,1.0,0.0
85,35.0,35.0,2021.0,43.9,38.34774,-98.20078,56.7,97.8,60.0,70.7,35.9,32.2,4.3,20.0,80.0,4.0,13.4,44.0,30.8,39.2,55.8,27.7,35.5,30.0,39.0,13.1,31.3,89.4,37.3,83.9,7.0,10.9,65.8,63.9,52.3,5.8,32.5,25.5,36.6,65.6,10.5,15.4,2.9,3.7,14.3,0.0,0.0,0.0,0.0,0.0,1.0
86,539.0,539.0,2017.0,37.5,40.79373,-77.8607,46.4,96.8,61.1,64.2,29.9,33.3,5.3,26.5,73.5,5.2,23.3,50.2,24.8,36.0,50.5,32.5,33.5,24.5,42.7,6.9,36.4,89.9,32.6,74.7,6.6,11.3,77.0,62.1,40.6,3.8,25.1,23.8,32.7,73.5,9.6,19.0,2.8,3.9,20.8,0.0,0.0,1.0,0.0,0.0,0.0
87,94.0,94.0,2021.0,50.7,34.52088,-106.24058,56.3,96.2,56.2,69.5,33.1,27.7,5.1,25.7,74.3,4.3,9.7,50.3,30.2,33.6,42.6,33.2,35.0,39.4,41.3,14.4,31.8,87.5,35.4,79.1,6.7,13.7,68.7,63.6,50.2,5.4,30.4,26.3,35.6,67.1,8.0,19.5,3.4,3.8,12.7,0.0,0.0,0.0,0.0,0.0,1.0
88,203.0,203.0,2021.0,48.0,32.84057,-86.63186,58.5,97.3,69.5,67.0,41.5,30.9,5.8,28.9,71.1,5.0,12.5,48.1,32.8,40.1,56.0,37.9,43.7,38.9,40.8,10.1,42.7,90.5,40.1,83.0,9.4,15.1,79.9,66.5,41.6,5.5,26.4,31.5,39.9,71.8,12.9,19.4,3.3,4.2,17.2,0.0,0.0,0.0,1.0,0.0,0.0
89,77.0,77.0,2021.0,42.4,47.47532,-100.11842,56.4,97.4,60.3,70.2,32.2,33.1,4.1,20.0,80.0,3.6,15.0,38.8,28.4,35.1,52.6,24.6,31.7,24.2,38.1,9.3,28.3,86.8,33.1,83.5,5.3,7.9,74.0,58.9,52.2,4.9,34.7,26.6,33.1,63.4,5.4,13.1,2.5,3.4,13.4,0.0,0.0,0.0,0.0,0.0,1.0
90,387.0,387.0,2017.0,46.2,40.48501,-88.99771,47.9,97.1,66.7,51.1,40.6,26.5,6.3,30.8,69.2,3.2,17.8,53.9,24.5,36.5,44.9,37.3,34.6,45.8,53.4,10.8,40.0,94.0,30.0,78.8,7.4,14.5,79.9,58.3,33.0,4.6,28.7,31.2,38.4,70.0,11.9,19.7,3.1,4.0,19.9,0.0,1.0,0.0,0.0,0.0,0.0
91,156.0,156.0,2021.0,35.1,38.84384,-106.13361,50.7,96.8,52.1,72.0,21.5,23.0,4.2,17.6,82.4,4.3,18.7,39.8,23.7,33.9,47.1,25.3,22.6,24.5,37.6,10.4,26.0,88.7,31.6,70.9,5.1,7.0,62.6,63.2,49.0,4.7,37.1,16.7,25.1,60.6,12.0,13.1,2.6,3.2,12.0,0.0,0.0,0.0,1.0,0.0,0.0
92,266.0,266.0,2021.0,46.1,64.84508,-147.72206,42.7,92.4,55.7,56.0,27.8,31.1,4.7,20.9,79.1,5.6,20.5,43.0,20.8,25.0,47.7,28.2,24.9,24.6,38.8,5.9,33.4,81.6,32.4,63.0,5.3,8.8,74.5,61.4,38.8,4.0,28.7,18.5,32.3,70.2,12.9,13.6,2.4,3.3,17.2,0.0,0.0,1.0,0.0,0.0,0.0
93,258.0,258.0,2021.0,43.6,39.76691,-86.14996,59.0,97.2,60.4,65.8,38.2,32.6,4.8,23.1,76.9,3.8,11.8,46.2,32.7,40.2,56.8,30.4,38.8,33.9,46.2,13.8,32.0,91.6,34.0,84.4,9.5,11.4,68.5,60.2,47.3,6.0,32.0,27.5,38.2,65.8,6.9,17.8,3.5,4.2,16.4,0.0,0.0,0.0,0.0,0.0,1.0
94,134.0,134.0,2021.0,51.9,31.31266,-92.44568,54.8,97.5,69.5,63.2,40.4,35.4,6.0,32.7,67.3,5.1,17.2,46.1,29.5,37.0,49.5,38.3,37.8,42.6,45.7,9.7,40.2,90.5,37.7,81.5,8.7,13.6,77.4,64.9,39.0,5.5,27.0,29.4,38.6,71.0,7.5,20.3,3.3,4.4,19.5,0.0,0.0,0.0,1.0,0.0,0.0
95,599.0,599.0,2017.0,37.8,44.39319,-89.81637,50.1,96.6,57.3,52.7,28.0,29.1,5.2,20.4,79.6,4.2,22.7,51.7,25.5,35.2,48.7,30.3,28.2,26.2,42.3,9.5,30.8,89.3,33.2,75.4,5.0,9.1,73.5,68.5,38.2,3.8,31.5,22.4,32.0,67.3,9.0,16.9,2.6,4.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0
96,275.0,275.0,2021.0,37.6,46.35565,-94.7942,32.7,98.4,48.9,61.73333333333333,35.4,29.433333333333337,5.233333333333333,24.6,75.4,3.7,17.7,27.3,7.4,9.4,26.1,36.7,23.1,36.5,21.4,7.6,17.9,82.0,24.9,50.7,2.6,7.6,36.4,61.8,32.2,3.8,27.0,33.4,34.1,70.2,31.8,14.5,2.0,2.1,10.7,1.0,0.0,0.0,0.0,0.0,0.0
97,225.0,225.0,2021.0,35.7,42.27687,-72.08269,44.1,97.2,60.9,75.6,20.9,24.6,3.8,19.9,80.1,4.4,19.7,35.3,20.1,28.6,41.7,22.5,24.0,22.1,32.9,7.7,32.5,91.1,38.6,74.4,5.0,9.2,70.0,67.2,54.4,3.4,31.9,18.5,27.7,66.4,4.5,11.4,1.9,2.6,11.4,0.0,0.0,1.0,0.0,0.0,0.0
98,4.0,4.0,2021.0,40.1,39.3607,-111.58713,50.8,96.3,53.3,69.9,24.5,28.7,4.6,18.6,81.4,4.4,11.7,42.5,20.9,28.4,40.0,24.0,24.2,23.3,34.9,9.7,26.7,86.4,31.6,64.8,4.3,8.0,65.4,59.7,46.5,5.4,33.7,17.3,30.9,64.2,10.4,12.4,2.9,3.5,7.2,0.0,0.0,0.0,1.0,0.0,0.0
99,497.0,497.0,2017.0,51.8,34.52088,-106.24058,43.4,95.1,54.9,53.1,35.7,22.4,7.3,39.8,60.2,3.7,15.9,58.9,21.9,25.9,40.4,50.9,31.5,45.3,59.3,9.8,28.9,84.8,26.7,70.4,5.0,11.7,61.6,44.5,38.3,4.7,29.6,26.4,30.8,68.7,19.0,25.0,3.1,4.7,18.2,1.0,0.0,0.0,0.0,0.0,0.0
100,104.0,104.0,2021.0,39.3,37.54268,-78.45789,53.3,97.5,63.1,69.2,29.0,31.6,4.6,23.5,76.5,5.2,15.4,40.6,27.1,37.0,49.6,28.1,30.4,28.2,38.9,9.8,34.4,91.7,38.6,79.7,6.4,11.5,74.1,64.7,49.4,4.7,29.9,20.9,34.2,68.1,7.0,15.0,2.8,3.4,12.4,0.0,0.0,0.0,1.0,0.0,0.0
101,484.0,484.0,2017.0,44.4,41.64104,-99.36572,45.4,96.8,61.1,65.1,29.5,36.0,4.3,23.4,76.6,4.6,27.3,41.1,20.6,29.1,44.0,28.2,31.4,15.2,39.6,6.1,33.5,88.2,31.5,74.0,4.9,10.4,68.7,52.8,41.3,2.7,23.7,25.7,33.2,75.2,15.3,14.1,1.8,2.9,16.4,0.0,0.0,1.0,0.0,0.0,0.0
102,91.0,91.0,2021.0,44.3,38.34774,-98.20078,46.3,96.8,63.2,69.4,28.7,30.2,3.9,20.7,79.3,5.3,22.1,35.3,22.4,28.7,40.5,25.6,31.0,21.3,32.8,8.0,37.4,86.0,40.4,75.9,5.9,11.2,74.6,66.9,41.2,3.7,23.9,21.7,35.5,75.1,12.0,14.0,2.0,2.8,16.9,0.0,0.0,1.0,0.0,0.0,0.0
103,182.0,182.0,2021.0,42.3,32.83968,-83.62758,50.6,97.9,78.7,57.4,40.1,37.8,4.9,27.2,72.8,6.0,10.2,55.5,21.9,28.9,47.4,39.2,39.1,53.7,56.0,11.0,40.5,92.3,29.7,84.8,5.2,15.0,75.4,55.4,28.8,4.5,24.6,26.5,42.7,73.9,15.2,19.2,3.1,3.4,14.9,0.0,1.0,0.0,0.0,0.0,0.0
104,5.0,5.0,2021.0,51.1,38.66551,-80.71264,40.4,96.5,79.0,50.1,43.7,45.4,5.8,33.0,67.0,5.333333333333333,10.3,55.6,27.2,39.1,52.56666666666666,49.1,54.5,51.5,48.166666666666664,12.2,46.7,91.9,28.4,75.2,10.2,17.2,85.63333333333333,55.79999999999999,41.8,5.7,24.7,28.6,41.2,74.6,11.5,28.0,4.6,4.7,26.1,0.0,1.0,0.0,0.0,0.0,0.0
105,538.0,538.0,2017.0,39.3,41.70828,-71.52247,55.0,98.5,63.0,64.0,36.8,25.8,5.0,21.3,78.7,3.0,12.5,51.7,31.0,38.6,50.4,30.2,40.3,30.4,43.5,14.5,31.0,94.9,29.7,86.0,8.7,8.4,73.0,70.6,53.0,4.8,39.2,29.1,29.0,59.1,6.0,18.4,3.2,4.6,12.9,0.0,0.0,0.0,0.0,0.0,1.0
106,281.0,281.0,2021.0,42.4,39.76691,-86.14996,54.3,97.4,63.1,66.6,35.7,33.2,4.9,23.2,76.8,4.7,15.4,41.8,28.1,36.2,50.9,30.1,36.2,29.7,45.1,10.3,34.5,88.8,35.6,81.2,8.5,12.1,73.6,61.5,43.4,5.0,28.6,25.9,36.3,69.6,9.0,16.7,2.9,3.7,17.3,0.0,0.0,0.0,1.0,0.0,0.0
107,563.0,563.0,2017.0,35.4,31.82724,-99.42677,39.1,96.9,59.9,60.9,30.9,28.4,4.8,24.9,75.1,5.2,23.2,47.6,15.4,21.8,36.5,33.8,36.3,26.4,49.4,4.5,33.8,86.9,31.2,66.0,3.5,12.9,70.9,60.8,32.8,2.9,23.7,30.2,33.9,75.1,30.4,18.3,2.0,3.1,17.8,0.0,0.0,1.0,0.0,0.0,0.0
108,75.0,75.0,2021.0,40.9,39.00883,-75.57774,53.5,97.5,62.7,75.1,40.3,32.6,4.5,18.3,81.7,4.3,9.7,43.7,31.9,42.7,51.1,25.2,38.7,31.3,42.8,12.6,34.9,93.5,35.9,81.7,6.6,11.7,74.6,62.8,54.2,5.2,32.2,31.8,36.1,65.8,6.7,14.9,3.0,3.8,11.1,0.0,0.0,0.0,0.0,0.0,1.0
109,400.0,400.0,2017.0,39.0,40.48501,-88.99771,56.4,97.5,61.7,53.6,32.7,29.7,5.4,23.5,76.5,2.8,15.1,49.6,28.4,41.8,51.3,34.0,31.4,27.6,44.4,10.1,30.8,90.9,30.4,79.7,7.7,10.5,65.9,58.5,40.5,4.3,36.3,25.8,30.5,61.6,11.5,19.6,2.7,4.4,13.8,0.0,0.0,0.0,0.0,0.0,1.0
110,481.0,481.0,2017.0,39.6,40.13057,-74.27369,40.5,97.3,63.7,65.8,30.1,26.6,4.6,26.6,73.4,4.7,22.8,49.0,18.6,26.8,39.3,33.4,37.5,26.5,47.0,6.4,36.0,93.2,34.3,72.0,5.0,12.0,70.5,59.0,38.7,3.3,29.4,26.4,29.3,69.8,14.8,17.6,2.5,3.5,16.1,0.0,0.0,1.0,0.0,0.0,0.0
111,129.0,129.0,2021.0,47.2,47.06653,-109.42442,44.4,94.6,55.5,63.5,27.2,32.5,4.6,20.3,79.7,5.4,25.6,36.9,24.5,34.1,40.5,23.7,26.5,20.6,34.9,6.5,33.7,83.8,32.3,71.9,5.2,9.0,68.5,52.0,37.2,3.7,26.8,19.1,31.7,72.3,11.5,13.2,2.1,3.3,13.7,0.0,0.0,1.0,0.0,0.0,0.0
112,354.0,354.0,2017.0,46.6,32.83968,-83.62758,49.2,98.0,72.0,54.7,38.5,36.8,5.3,32.4,67.6,3.6,9.0,51.1,20.3,30.2,43.5,43.0,47.6,43.8,46.7,10.1,34.8,94.0,24.3,78.9,6.1,11.5,78.7,58.3,30.4,3.8,30.7,31.8,35.9,67.2,19.7,18.8,2.3,3.2,16.2,0.0,1.0,0.0,0.0,0.0,0.0
113,364.0,364.0,2017.0,39.9,43.68263,-114.36373,42.6,93.3,55.2,54.2,27.4,26.5,5.7,22.8,77.2,5.6,19.0,45.8,19.8,27.4,43.7,31.5,34.1,18.0,34.7,6.3,33.1,83.8,31.8,64.1,4.9,8.3,74.6,55.7,31.6,3.0,26.5,26.0,30.5,72.8,20.1,15.4,2.3,3.6,15.7,0.0,0.0,1.0,0.0,0.0,0.0
114,437.0,437.0,2017.0,38.8,46.35565,-94.7942,48.8,96.6,53.4,65.7,33.6,26.3,4.2,16.8,83.2,3.1,14.8,48.2,22.8,33.2,45.2,26.4,33.6,21.3,40.1,9.0,24.4,92.5,25.4,79.8,4.4,6.6,66.0,59.8,51.0,3.6,40.6,24.5,26.4,57.0,8.6,12.3,2.1,3.2,12.8,0.0,0.0,0.0,0.0,0.0,1.0
115,389.0,389.0,2017.0,42.9,38.34774,-98.20078,49.4,96.6,60.9,56.0,34.7,29.3,4.9,23.3,76.7,4.2,17.2,49.6,24.1,31.7,50.3,34.3,37.0,25.2,44.2,9.1,32.8,88.9,30.9,75.9,6.4,10.5,71.1,61.4,38.5,3.6,30.9,27.9,32.3,67.2,15.2,16.6,2.3,3.7,17.3,0.0,0.0,0.0,1.0,0.0,0.0
116,255.0,255.0,2021.0,24.6,38.90719,-77.03687,40.9,98.7,47.1,80.9,11.1,14.7,2.1,8.2,91.8,3.1,31.7,29.5,13.9,17.8,49.86666666666667,7.4,8.5,7.9,31.599999999999998,9.2,18.3,93.3,30.5,62.1,2.1,2.4,67.69999999999999,61.6,67.2,4.5,53.4,5.5,13.0,45.2,4.033333333333333,4.8,2.1,1.8,4.2,0.0,0.0,0.0,0.0,1.0,0.0
117,254.0,254.0,2021.0,53.1,40.48501,-88.99771,51.2,94.1,59.6,76.1,34.2,32.5,4.2,18.7,81.3,4.9,15.4,40.6,24.8,33.2,43.7,26.2,34.1,23.9,36.7,8.2,31.7,89.2,34.8,83.7,6.5,10.2,74.3,57.8,54.8,4.1,31.5,25.1,33.1,67.1,4.6,14.1,2.6,3.5,12.5,0.0,0.0,0.0,0.0,1.0,0.0
118,16.0,16.0,2021.0,36.2,42.4694,-93.81649,56.6,97.3,55.1,74.8,34.9,32.6,4.1,17.4,82.6,3.8,14.3,38.2,30.2,37.2,47.5,22.1,34.4,24.6,38.0,11.4,29.1,90.2,35.7,83.3,7.1,8.9,63.7,63.1,57.3,5.4,31.8,26.8,36.5,65.9,5.7,13.5,2.7,3.2,13.3,0.0,0.0,0.0,0.0,0.0,1.0
119,575.0,575.0,2017.0,37.7,47.52228,-120.47001,54.6,96.7,54.8,65.4,24.9,25.9,4.7,19.4,80.6,3.2,11.8,57.2,28.2,37.7,50.4,31.0,27.1,24.9,47.7,13.9,25.9,91.9,28.2,74.2,6.1,8.9,61.5,62.0,47.8,4.8,42.4,20.2,27.1,55.0,9.2,16.5,3.2,4.4,12.2,0.0,0.0,0.0,0.0,0.0,1.0
120,122.0,122.0,2021.0,56.1,37.64597,-84.77497,56.2,95.5,63.3,65.9,37.3,34.3,6.6,32.4,67.6,4.9,13.3,49.0,32.3,39.0,54.0,39.5,40.3,35.1,47.0,11.3,39.8,89.4,38.1,83.8,11.5,13.5,77.6,65.3,42.2,5.3,25.9,30.1,40.0,72.4,5.1,22.3,3.8,5.0,19.8,0.0,0.0,0.0,0.0,1.0,0.0
121,494.0,494.0,2017.0,46.3,34.52088,-106.24058,52.8,95.0,52.2,56.1,35.0,23.8,6.9,31.3,68.7,3.8,10.3,58.8,29.6,35.5,50.7,41.9,34.2,37.0,55.0,13.6,27.4,89.0,29.1,77.5,6.3,9.8,64.2,50.8,43.3,5.1,36.6,26.7,29.4,61.2,12.1,23.0,3.2,5.0,14.5,0.0,0.0,0.0,0.0,0.0,1.0
